Career_ID,Category,Career_Name,Min_Education,Preferred_Stream,Required_Degree,Entrance_Exams,Duration_Years,Key_Technical_Skills,Key_Soft_Skills,Entry_Salary_LPA,Mid_Salary_LPA,Senior_Salary_LPA,Job_Outlook,Top_Recruiters_India
C098,Government,Government Teacher,Bachelor's + BEd,Any stream,BA/BSc + BEd,"TET, CTET",5-6,"Subject Knowledge, Lesson Planning, Classroom Management","Patience, Communication",0.4-0.7,0.8-1.2,1.2-1.8,Stable,"KVS, NVS, State Government Schools"
C099,Government,Government Doctor,PG Degree,Science PCB,MBBS + PG,NEET-PG,7-9,"Medical Practice, Patient Care, Public Health","Empathy, Dedication",0.8-1.5,1.5-2.5,2.5-3.5,Good,"CGHS, ESIC, State Health Services, AIIMS"
C100,Government,Government Engineer,Bachelor's,Science Maths,B.Tech/BE,GATE/State exams,4-5,"Engineering Design, Project Management, Public Works","Technical competence, Integrity",0.6-1.0,1.2-1.8,1.8-2.5,Good,"CPWD, PWD, Railways, Public Sector Units"
C101,Government,RBI Officer,Master's,Economics/Commerce/Maths,MA/MCom/MSc,RBI Grade B,5-6,"Monetary Policy, Banking Regulation, Economic Analysis","Analytical, Decision-making",0.8-1.5,1.8-2.8,3.0-4.0,Excellent,"Reserve Bank of India"
C102,Government,Public Sector Bank Manager,Bachelor's,Any stream,Any Graduate Degree,IBPS PO,4-5,"Banking Operations, Customer Service, Financial Products","Leadership, Communication",0.6-1.0,1.2-1.8,1.8-2.5,Good,"SBI, PNB, Bank of Baroda, Canara Bank"
C103,Government,Diplomat,Bachelor's,Any stream,Any Graduate Degree,UPSC CSE/IFS,1-2 prep,"International Relations, Negotiation, Protocol","Cultural intelligence, Communication",0.8-1.3,1.6-2.6,2.6-3.8,Excellent,"Ministry of External Affairs, Indian Missions"
C104,Government,Railway Officer,Bachelor's,Any stream,Any Graduate Degree,RRB exams,4-5,"Railway Operations, Management, Administration","Leadership, Problem-solving",0.6-1.0,1.2-1.8,1.8-2.5,Good,"Indian Railways"
C105,Government,CDS Officer,Bachelor's,Any stream,Any Graduate Degree,CDS exam,1 prep,"Military Strategy, Leadership, Combat Skills","Courage, Discipline, Patriotism",0.7-1.2,1.5-2.2,2.2-3.0,Good,"Indian Army, Navy, Air Force"
C106,Defence,Army Officer (General),Bachelor's,Any stream,Any Graduate Degree,NDA/CDS,1 prep,"Military Operations, Leadership, Strategy, Combat","Courage, Discipline, Teamwork",0.7-1.2,1.5-2.2,2.2-3.0,Stable,"Indian Army"
C107,Defence,Navy Officer,Bachelor's,Science Maths,BTech/BE,NDA/CDS/10+2,1 prep,"Navigation, Naval Operations, Ship Handling, Strategy","Discipline, Adaptability",0.7-1.2,1.5-2.2,2.2-3.0,Stable,"Indian Navy"
C108,Defence,Air Force Officer,Bachelor's,Science Maths/PCM,BTech/BSc,NDA/CDS/AFCAT,1 prep,"Flying, Aircraft Systems, Air Combat, Strategy","Quick thinking, Discipline",0.7-1.2,1.5-2.2,2.2-3.0,Stable,"Indian Air Force"
C109,Defence,Army Soldier (GD),10+2,Any stream,10+2 pass,Army Recruitment,0.5 prep,"Physical Fitness, Combat, Weapon Handling, Drills","Discipline, Teamwork",0.4-0.6,0.8-1.0,1.0-1.5,Stable,"Indian Army"
C110,Defence,Paramilitary Officer,Bachelor's,Any stream,Any Graduate Degree,CAPF exam,1 prep,"Law Enforcement, Counter-insurgency, Public Safety","Courage, Leadership",0.5-0.9,1.0-1.5,1.5-2.0,Stable,"CRPF, BSF, CISF, ITBP, SSB"
C111,Defence,Intelligence Officer,Master's,Any stream,Any degree + clearance,IB/RAW exams,1-2 prep,"Intelligence Gathering, Analysis, Surveillance, Security","Observation, Discretion",0.8-1.4,1.6-2.4,2.5-3.5,Stable,"IB, RAW, Intelligence agencies"
C112,Defence,DRDO Scientist,Master's,Science/Engineering,BTech/MSc + GATE,GATE/DRDO exam,5-6,"Research, Defense Technology, Engineering, Innovation","Analytical, Innovation",0.8-1.5,1.8-2.8,3.0-4.0,Good,"DRDO labs across India"
C113,Defence,ISRO Scientist,Master's,Science/Engineering,BTech/MSc + GATE,GATE/ISRO exam,5-6,"Space Technology, Research, Engineering, Mission Planning","Precision, Innovation",0.8-1.5,1.8-2.8,3.0-4.0,Excellent,"ISRO centers (VSSC, SAC, URSC, etc.)"
C114,Defence,Bhabha Atomic Research Scientist,Master's,Science/Engineering,BTech/MSc,GATE/BARC exam,5-6,"Nuclear Science, Research, Safety, Engineering","Precision, Safety focus",0.8-1.5,1.8-2.8,3.0-4.0,Stable,"BARC, IGCAR, atomic research centers"
C115,Defence,Defence Civilian Employee,Bachelor's,Any stream,Any Graduate Degree,SSC exams,4-5,"Administration, Engineering, Medical, Logistics","Discipline, Service orientation",0.5-0.9,1.0-1.6,1.6-2.2,Stable,"Ministry of Defence, Ordnance Factories"
C116,Defence,Fighter Pilot,Bachelor's,Science Maths,BTech/BSc,NDA/CDS/AFCAT,1 prep,"Flying, Combat, Navigation, Aircraft Systems","Courage, Quick reflexes",0.9-1.5,2.0-3.0,3.5-5.0,Stable,"Indian Air Force"
C117,Defence,Submarine Officer,Bachelor's,Science Maths,BTech/BE,NDA/CDS/Navy,1 prep,"Submarine Operations, Navigation, Combat, Engineering","Stamina, Focus",0.8-1.4,1.8-2.5,2.8-3.8,Stable,"Indian Navy"
C118,Defence,Engineer in Defence PSUs,Bachelor's,Science Maths,BTech/BE,GATE,4-5,"Engineering Design, Manufacturing, Quality, Project Management","Technical competence, Integrity",0.7-1.2,1.5-2.2,2.2-3.0,Good,"BEL, HAL, BDL, MIL, GRSE, GSL"
C119,Defence,Medical Officer in Armed Forces,PG Degree,Science PCB,MBBS + PG,NEET-PG/AFMC,7-9,"Medicine, Surgery, Emergency Care, Field Medicine","Courage, Dedication",1.0-1.8,2.0-3.0,3.2-4.2,Good,"Armed Forces Medical Services"
C120,Defence,Cyber Security Specialist (Defence),Bachelor's,Science CS,BTech CS/IT,GATE/defence entry,4-5,"Network Security, Cyber Defense, Ethical Hacking, Cryptography","Analytical, Security focus",0.8-1.5,1.8-2.8,3.0-4.0,Growing,"Defence cyber agencies, CERT-In"
C121,Education,Professor (University),PhD,Any stream,MA/MSc + PhD,UGC-NET/GATE,8-10,"Research, Teaching, Publication, Subject Expertise","Communication, Mentoring",0.8-1.5,1.8-2.8,3.0-4.5,Good,"Universities, IITs, NITs, IIITs, Central Universities"
C122,Education,College Lecturer,Master's,Any stream,MA/MSc + NET,UGC-NET/State SET,6-7,"Teaching, Curriculum Development, Student Assessment","Communication, Patience",0.5-0.9,1.0-1.5,1.6-2.2,Stable,"Government and private colleges"
C123,Education,School Teacher (PGT),Bachelor's + BEd,Any stream,BA/BSc + BEd,CTET/STET,5-6,"Subject Expertise, Lesson Planning, Classroom Management","Patience, Communication",0.4-0.7,0.8-1.2,1.2-1.6,Stable,"KVS, NVS, Private schools, Govt schools"
C124,Education,School Teacher (TGT),Bachelor's + BEd,Any stream,BA/BSc + BEd,CTET/STET,5-6,"Subject Teaching, Student Assessment, Classroom Management","Patience, Creativity",0.4-0.6,0.7-1.0,1.0-1.4,Stable,"KVS, NVS, Private schools, Govt schools"
C125,Education,Primary Teacher,12th + DEd,Any stream,12th + DElEd/BElEd,State TET,4-5,"Foundational Teaching, Child Development, Activity Planning","Patience, Creativity, Affection",0.3-0.5,0.5-0.8,0.8-1.2,Stable,"Primary schools, KVS, State Govt schools"
C126,Education,Special Educator,Bachelor's + BEd,Any stream,Any degree + BEd Special,CTET/State exam,5-6,"Special Needs Education, Therapy Techniques, Individualized Plans","Empathy, Patience",0.3-0.6,0.6-1.0,1.0-1.4,Growing,"Special schools, inclusive schools, NGOs"
C127,Education,Education Consultant,Master's,Any stream,MEd/MBA,Experience,7-9,"Curriculum Design, Educational Policy, Assessment, Training","Strategic thinking, Communication",0.6-1.2,1.4-2.2,2.2-3.5,Growing,"Educational institutions, EdTech companies, consulting"
C128,Education,Curriculum Developer,Master's,Any stream,MA/MEd,Experience,5-7,"Curriculum Design, Instructional Design, Content Development","Creativity, Research",0.5-1.0,1.2-1.8,1.8-2.5,Growing,"Publishing houses, EdTech, boards, institutions"
C129,Education,Vocational Trainer,Diploma/Degree,Vocational stream,Degree/Diploma in trade,State exam,3-5,"Trade Skills, Training Delivery, Assessment","Patience, Practical focus",0.3-0.6,0.6-0.9,0.9-1.2,Growing,"ITIs, polytechnics, skill development centers"
C130,Education,Online Tutor,Bachelor's,Any stream,Any degree,Subject expertise,3-4,"Subject Knowledge, Online Teaching Tools, Communication","Patience, Tech-savvy",0.3-0.8,0.8-1.5,1.5-2.5,Growing,"BYJU'S, Unacademy, Vedantu, Chegg, self-employed"
C131,Education,Educational Psychologist,Master's,Psychology,MA/MSc Psychology + MPhil,Entrance,6-8,"Assessment, Counseling, Learning Difficulties, Research","Empathy, Analytical",0.4-0.8,0.9-1.5,1.5-2.2,Growing,"Schools, counseling centers, hospitals, NGOs"
C132,Education,Librarian,Master's,Any stream,BLib + MLib,State exam,5-6,"Library Management, Digital Resources, Cataloging, Research Help","Organization, Helpfulness",0.4-0.7,0.7-1.1,1.1-1.6,Stable,"Schools, colleges, universities, public libraries"
C133,Education,Principal,Master's + BEd,Any stream,MA/MSc + BEd + experience,Promotion/selection,12-15,"School Leadership, Administration, Academics, Stakeholder Management","Leadership, Vision",1.0-1.8,1.8-2.5,2.5-3.5,Stable,"KVS, private schools, state govt schools"
C134,Education,Early Childhood Educator,12th + NTT,Any stream,12th + NTT/ECE,State exam,3-4,"Child Development, Play-based Learning, Caregiving","Patience, Affection, Creativity",0.2-0.4,0.4-0.6,0.6-0.9,Stable,"Preschools, daycare centers, Montessori schools"
C135,Education,Educational Researcher,PhD,Any stream,MA/MSc + PhD,UGC-NET/entrance,8-10,"Research Methodology, Data Analysis, Academic Writing","Analytical, Curiosity",0.6-1.2,1.3-2.0,2.0-3.0,Stable,"Universities, research institutes, think tanks"
C136,Law,Supreme Court Lawyer,LLB + Experience,Any stream,BA LLB/LLB,CLAT/AILET,5-6 + exp,"Litigation, Constitutional Law, Research, Argumentation","Advocacy, Analytical thinking",5-10,20-40,50-100+,Excellent,"Supreme Court of India, top law firms"
C137,Law,Corporate Lawyer,LLB + Specialization,Any stream,BA LLB/LLB + Company Law,CLAT,5-6,"Corporate Law, Contracts, M&A, Compliance, Drafting","Negotiation, Detail-oriented",5-9,12-20,25-45,Excellent,"Amarchand, Khaitan, Trilegal, Cyril Amarchand"
C138,Law,Criminal Lawyer,LLB,Any stream,BA LLB/LLB,CLAT/state,5-6,"Criminal Law, Litigation, Court Procedures, Investigation","Advocacy, Quick thinking",3-7,8-15,15-30,Good,"District courts, High Courts, Supreme Court"
C139,Law,Civil Lawyer,LLB,Any stream,BA LLB/LLB,CLAT/state,5-6,"Civil Law, Property Law, Litigation, Drafting","Patience, Analytical",3-6,7-14,14-25,Good,"Civil courts, High Courts"
C140,Law,Tax Lawyer,LLB + Specialization,Any stream,BA LLB/LLB + Tax Law,CLAT,5-7,"Tax Law, Direct/Indirect Tax, Litigation, Advisory","Analytical, Detail-oriented",5-9,12-20,22-40,Good,"Tax firms, corporates, litigation, Big 4"
C141,Law,Intellectual Property Lawyer,LLB + IP specialization,Any stream,BA LLB/LLB + IPR,CLAT,5-7,"IP Law, Patents, Trademarks, Copyright, Litigation","Analytical, Detail-oriented",5-10,12-22,25-45,Growing,"IP firms, corporates, technology companies"
C142,Law,Cyber Lawyer,LLB + Cyber Law,Any stream,BA LLB/LLB + Cyber Law,CLAT,5-7,"Cyber Law, Data Privacy, IT Act, Cyber Crime","Tech-savvy, Analytical",5-10,12-22,24-44,Growing,"Law firms, tech companies, government agencies"
C143,Law,Family Lawyer,LLB,Any stream,BA LLB/LLB,CLAT/state,5-6,"Family Law, Divorce, Child Custody, Mediation","Empathy, Counseling",3-6,6-12,12-22,Stable,"Family courts, law firms, independent practice"
C144,Law,Legal Advisor,Bachelor's + LLB,Any stream,BA LLB/LLB,CLAT,5-6,"Legal Advisory, Contract Drafting, Compliance, Risk Management","Communication, Business acumen",4-8,9-16,17-30,Good,"Corporates, MNCs, banks, consulting firms"
C145,Law,Public Prosecutor,LLB + Experience,Any stream,BA LLB/LLB + lit exp,State PSC exams,5-8,"Criminal Law, Prosecution, Court Procedures, Investigation","Advocacy, Integrity",0.6-1.2,1.3-2.0,2.0-3.0,Stable,"State government, courts"
C146,Law,Judge (Civil Judge),LLB + Experience,Any stream,BA LLB/LLB + lit exp,Judicial Services exam,6-8,"Law, Court Procedures, Judgement Writing, Administration","Wisdom, Integrity, Patience",0.8-1.5,1.8-2.8,3.0-4.5,Excellent,"State judiciary, High Courts"
C147,Law,High Court Judge,Extensive LLB exp,Any stream,Senior Advocate + exp,Collegium appointment,20-25,"Constitutional Law, Judgement, Administration","Wisdom, Authority, Integrity",2.5-3.5,3.5-4.5,4.5-5.5,Excellent,"High Courts"
C148,Law,Supreme Court Judge,Extensive LLB exp,Any stream,Supreme Court Advocate + exp,Collegium appointment,25-30,"Constitutional Law, Landmark Judgements, Administration","Wisdom, Authority, Integrity",3.0-4.0,4.0-5.0,5.0-6.0,Excellent,"Supreme Court of India"
C149,Law,Legal Researcher,LLB/LLM,Any stream,BA LLB/LLB/LLM,University,5-7,"Legal Research, Writing, Analysis, Citation","Research mindset, Analytical",3-6,6-10,10-16,Growing,"Law firms, universities, research institutes"
C150,Law,Paralegal,Paralegal certificate,Any stream,Paralegal diploma,Institute-based,1-2,"Legal Documentation, Research, Client Communication, Filing","Organization, Attention to detail",2-4,4-7,7-10,Good,"Law firms, corporate legal departments"
C151,Media,Journalist (Print),Bachelor's,Any (English preferred),BA Journalism/BJMC,Entrance/merit,3-4,"Writing, Reporting, Research, Interviewing","Curiosity, Ethics, Communication",2.5-4,5-8,9-14,Stable,"Times of India, Hindu, Indian Express, Hindustan Times"
C152,Media,News Anchor,Graduate,Any stream,BA Journalism/MC,Audition/portfolio,3-4,"On-camera presence, Script Reading, News Knowledge, Voice","Confidence, Communication, Poise",3-6,6-12,12-20,Good,"NDTV, CNN-News18, India Today, Republic, Aaj Tak"
C153,Media,Radio Jockey (RJ),Graduate,Any stream,Any degree + voice training,Audition,3-4,"Voice Modulation, Show Planning, Music Knowledge, Live Broadcasting","Energetic, Witty, Engaging",2-5,5-8,8-12,Good,"Radio Mirchi, Red FM, Fever FM, Vividh Bharati"
C154,Media,Video Jockey (VJ),Graduate,Any stream,Any degree + media training,Audition,3-4,"On-camera presence, Hosting, Scripting, Entertainment","Charisma, Creativity",3-6,5-10,10-15,Good,"MTV, Channel V, 9XM, Zoom, TV channels"
C155,Media,Content Writer,Graduate,Any (English preferred),BA English/Journalism,Portfolio,3-4,"Writing, Research, SEO, Editing, Blogging","Creativity, Time management",2.5-4,4-7,7-11,Excellent,"Content agencies, tech companies, marketing firms"
C156,Media,Copywriter,Graduate,Any stream,BA English/Advertising,Portfolio,3-4,"Copywriting, Advertising, Brand Voice, Persuasive Writing","Creativity, Persuasion",3-5,5-9,9-14,Good,"Ad agencies, marketing departments, brands"
C157,Media,Technical Writer,Graduate,Science/Engineering,BTech/BA English + tech,Portfolio,4-5,"Technical Documentation, API Docs, User Manuals, Simplified Tech","Clarity, Patience, Research",4-7,7-12,12-18,Good,"Tech companies, IT firms, documentation agencies"
C158,Media,Editor (Book/News),Master's,Any (English preferred),MA English/Journalism,Experience,6-8,"Editing, Proofreading, Content Strategy, Publishing","Attention to detail, Patience",3-6,6-10,10-15,Stable,"Publishing houses, newspapers, magazines"
C159,Media,Proofreader,Graduate,Any (English preferred),BA English/Journalism,Test/portfolio,3-4,"Proofreading, Grammar, Spelling, Style Guides","Attention to detail, Focus",2-4,4-6,6-9,Stable,"Publishing, media houses, corporate communications"
C160,Media,Translator,Graduate,Language studies,BA/MA in Languages,Translation test,4-6,"Language Proficiency, Translation Tools, Cultural Knowledge","Accuracy, Cultural sensitivity",2-5,5-8,8-12,Good,"Translation agencies, MNCs, government, media"
C161,Media,Interpreter,Master's,Language studies,MA in Languages + training,Interpretation test,5-7,"Simultaneous Interpretation, Language Fluency, Note-taking","Quick thinking, Neutrality",3-6,6-12,12-20,Good,"UN, MEA, conferences, embassies, MNCs"
C162,Media,Photojournalist,Graduate,Any stream,BA Photography/Journalism,Portfolio,3-4,"Photography, Storytelling, Camera Equipment, Editing","Observation, Courage, Creativity",2-5,5-9,9-14,Good,"News agencies, newspapers, magazines, wire services"
C163,Media,Video Editor,Diploma/Degree,Any stream,Diploma/Degree in Film Editing,Portfolio,2-4,"Editing Software (Premiere/FCP/DaVinci), Storytelling, Color Grading","Creativity, Patience",2-5,5-9,9-15,Good,"TV channels, production houses, OTT platforms"
C164,Media,Sound Engineer,Diploma/Degree,Any stream,Diploma/Degree in Sound Engineering,Portfolio,2-4,"Audio Recording, Mixing, Mastering, Sound Design, DAWs","Technical ear, Patience",2-5,5-9,9-14,Good,"Recording studios, film industry, live events"
C165,Media,Social Media Manager,Graduate,Any stream,Any degree + social media skills,Portfolio,3-4,"Social Media Strategy, Content Creation, Analytics, Community Management","Creativity, Communication, Trend awareness",3-6,6-11,11-17,Excellent,"Brands, agencies, media companies, startups"
C166,Arts,Fashion Designer,Diploma/Degree,Any (Arts preferred),NIFT/NID degree,NIFT/NID entrance,3-4,"Fashion Illustration, Pattern Making, Sewing, Textile Knowledge","Creativity, Trend awareness",3-6,6-12,12-20,Good,"Fabindia, Raymond, Myntra, Amazon Fashion, self-employed"
C167,Arts,Interior Designer,Diploma/Degree,Any stream,Diploma/Degree in Interior Design,NID/entrance,3-4,"Space Planning, AutoCAD, 3D Modeling, Material Knowledge","Creativity, Visualization",3-5,5-10,10-18,Good,"Interior design firms, architecture firms, real estate"
C168,Arts,Graphic Designer,Diploma/Degree,Any (Arts preferred),Diploma/Degree in Graphic Design,NID/portfolio,2-4,"Adobe Creative Suite, Typography, Branding, Layout","Creativity, Communication",2.5-4,4-8,8-13,Good,"Design agencies, media, in-house design teams"
C169,Arts,UX/UI Designer,Graduate,Any stream,Any degree + UX training,Portfolio,3-4,"Figma, User Research, Wireframing, Prototyping, Usability","Empathy, Problem-solving",4-8,8-15,15-25,Excellent,"Tech companies, design consultancies, product firms"
C170,Arts,Product Designer,Graduate,Any stream,IDC/NID degree,CEED/NID,4-5,"Industrial Design, CAD, 3D Modeling, Material Science","Creativity, User focus",4-7,7-14,14-22,Good,"Product companies, consumer goods, automotive, startups"
C171,Arts,Animation Artist,Diploma/Degree,Any (Arts preferred),Arena/MAAC/degree,Portfolio,2-4,"Maya, 3ds Max, Blender, Character Animation, Storyboarding","Creativity, Patience",2-5,5-9,9-15,Good,"Animation studios, gaming, film, advertising"
C172,Arts,VFX Artist,Diploma/Degree,Any (Arts preferred),Arena/MAAC/degree,Portfolio,2-4,"Nuke, After Effects, Compositing, 3D Integration, Tracking","Creativity, Technical eye",2-5,5-10,10-16,Good,"VFX studios (Prime Focus, Red Chillies), film industry"
C173,Arts,Jewelry Designer,Diploma/Degree,Any (Arts preferred),NIFT/Jewelry Design,NIFT/entrance,3-4,"Jewelry Design, CAD, Gemology, Metal Smithing","Creativity, Precision",2-5,5-9,9-15,Good,"Jewelry brands, export houses, self-employed"
C174,Arts,Textile Designer,Diploma/Degree,Any (Arts preferred),NIFT/Textile Design,NIFT/entrance,3-4,"Textile Design, Weaving, Printing, Color Theory","Creativity, Pattern sense",2-5,5-9,9-14,Good,"Textile mills, fashion houses, export houses"
C175,Arts,Game Designer,Graduate,Any stream,Game Design degree/portfolio,Portfolio,3-4,"Game Mechanics, Level Design, Storytelling, Unity/Unreal","Creativity, Systems thinking",3-6,6-12,12-20,Growing,"Game studios (Ubisoft, EA, Nazara, Zynga)"
C176,Arts,Illustrator,Diploma/Degree,Any (Arts preferred),Fine Arts/Illustration,Portfolio,3-4,"Drawing, Digital Illustration, Character Design, Style","Creativity, Imagination",2-5,5-8,8-13,Good,"Publishing, advertising, animation, freelance"
C177,Arts,Art Director,Experience,Any (Arts preferred),Design degree + experience,Portfolio/experience,8-10,"Visual Direction, Team Leadership, Concept Development, Design","Vision, Leadership",6-12,12-22,22-35,Good,"Ad agencies, media, film, design studios"
C178,Arts,Photographer,Diploma/Degree,Any stream,Photography course,Portfolio,1-3,"Photography, Lighting, Editing, Camera Equipment","Creative eye, Patience",2-5,5-10,10-20,Good,"Wedding, fashion, commercial, journalism, studios"
C179,Arts,Calligrapher,Training,Any stream,Calligraphy workshops,Portfolio,0.5-2,"Hand Lettering, Design, Ink Techniques, Styles","Patience, Precision",1-3,3-6,6-10,Niche,"Events, wedding industry, design, self-employed"
C180,Arts,Mural Artist,Training,Any stream,Art training/workshops,Portfolio,1-3,"Large-scale Painting, Design, Color Theory, Technique","Creativity, Physical stamina",2-5,5-10,10-18,Growing,"Public art, corporate, hospitality, real estate"
C181,Entertainment,Actor (Film),Training,Any stream,Acting school/NSD,Auditions,1-3,"Acting, Voice, Movement, Script Analysis","Expressiveness, Perseverance",Varies,Varies,Varies,Competitive,"Bollywood, regional cinema, OTT platforms"
C182,Entertainment,Actor (Theatre),Training,Any stream,NSD/acting school,Auditions,1-3,"Stage Acting, Voice Projection, Movement, Improvisation","Expressiveness, Teamwork",1-4,4-8,8-15,Stable,"Theatre groups, NSD, repertory companies"
C183,Entertainment,Director (Film),Experience,Any stream,Film institute/experience,Portfolio,8-10,"Storytelling, Direction, Script Analysis, Team Leadership","Vision, Leadership",Varies,Varies,Varies,Competitive,"Film industry, OTT, production houses"
C184,Entertainment,Producer (Film),Experience/Business,Any stream,Media degree/experience,Network/portfolio,8-12,"Production Management, Fundraising, Business, Marketing","Business acumen, Networking",Varies,Varies,Varies,Competitive,"Production houses, independent films"
C185,Entertainment,Cinematographer,Diploma/Degree,Any (Arts preferred),Film institute/degree,Portfolio,3-5,"Camera Operation, Lighting, Composition, Color Grading","Visual eye, Technical skill",3-8,8-18,18-35,Good,"Film industry, advertising, OTT"
C186,Entertainment,Editor (Film),Diploma/Degree,Any stream,Film editing course,Portfolio,2-4,"Editing Software (Premiere, Avid, DaVinci), Storytelling, Pacing","Creative, Patient",3-7,7-15,15-28,Good,"Film, TV, OTT, advertising"
C187,Entertainment,Sound Designer,Diploma/Degree,Any stream,Sound engineering degree,Portfolio,3-4,"Sound Recording, Editing, Mixing, Foley, DAWs","Technical ear, Creativity",3-6,6-12,12-22,Good,"Film industry, music studios, game audio"
C188,Entertainment,Music Director,Training,Any stream,Music training/composing,Portfolio,5-8,"Music Composition, Arrangement, Production, Direction","Musicality, Creativity",Varies,Varies,Varies,Competitive,"Film industry, music labels, independent"
C189,Entertainment,Singer (Playback),Training,Any stream,Music training,Auditions,5-10,"Vocal Technique, Range, Style, Recording","Expressiveness, Discipline",Varies,Varies,Varies,Competitive,"Film industry, music industry"
C190,Entertainment,Dancer (Professional),Training,Any stream,Dance training/workshops,Auditions,5-15,"Dance Technique, Choreography, Performance, Style","Expressiveness, Physical fitness",2-8,8-20,20-40,Good,"Film industry, dance companies, live shows"
C191,Entertainment,Choreographer,Experience,Any stream,Dance training + experience,Portfolio/network,8-12,"Choreography, Dance Styles, Teaching, Direction","Creativity, Leadership",4-10,10-25,25-50,Good,"Film industry, stage shows, dance academies"
C192,Entertainment,Model,Training,Any stream,Modeling workshops,Portfolio/auditions,1-3,"Walk, Pose, Photogenic, Fitness","Confidence, Professionalism",2-8,8-20,20-40,Competitive,"Fashion industry, advertising, ramp"
C193,Entertainment,Stand-up Comedian,Any,Any stream,Comedy workshops/open mics,Open mics,1-5,"Comedy Writing, Timing, Stage Presence, Improvisation","Wit, Confidence",1-5,5-15,15-50,Growing,"Comedy clubs, OTT, live shows"
C194,Entertainment,YouTuber,Any,Any stream,Content creation skills,Channel growth,0-3,"Video Production, Content Strategy, SEO, Social Media","Creativity, Consistency",0-10,10-50,50-Cr+,Growing,"Self, YouTube, influencer agencies"
C195,Entertainment,Influencer,Any,Any stream,Content creation skills,Social media presence,0-3,"Content Creation, Social Media, Branding, Engagement","Authenticity, Networking",0-8,8-40,40-Cr+,Growing,"Self, influencer agencies, brands"
C196,Skilled Trades,Electrician,ITI/Diploma,Science (10th/12th),ITI Electrician,NCVT/SCVT,1-2,"Electrical Wiring, Circuit Troubleshooting, Safety Procedures","Attention to detail, Problem-solving",1.5-3,3-6,6-10,Good,"Construction, manufacturing, self-employed"
C197,Skilled Trades,Plumber,ITI,10th pass,ITI Plumber,NCVT/SCVT,1-2,"Pipe Fitting, Plumbing Systems, Drainage, Repair","Practical, Problem-solving",1.5-2.5,2.5-5,5-8,Good,"Construction, maintenance, self-employed"
C198,Skilled Trades,Carpenter,ITI,10th pass,ITI Carpenter,NCVT/SCVT,1-2,"Woodworking, Furniture Making, Joinery, Finishing","Precision, Creativity",1.5-3,3-6,6-10,Good,"Construction, furniture, self-employed"
C199,Skilled Trades,Welder,ITI,10th pass,ITI Welder,NCVT/SCVT,1-2,"Welding Techniques (Arc, MIG, TIG), Metal Fabrication","Precision, Safety focus",1.5-3,3-6,6-9,Good,"Manufacturing, construction, shipbuilding"
C200,Skilled Trades,Fitter,ITI,10th pass,ITI Fitter,NCVT/SCVT,1-2,"Assembly, Maintenance, Reading Drawings, Machine Operation","Mechanical aptitude, Precision",1.5-3,3-5,5-8,Good,"Manufacturing, automotive, industrial"
C201,Skilled Trades,Machinist,ITI,10th pass,ITI Machinist,NCVT/SCVT,1-2,"Lathe, Milling, Grinding, Reading Blueprints","Precision, Patience",1.5-3,3-6,6-9,Good,"Manufacturing, tool rooms, workshops"
